language,cluster_id,n,spearman_indegree,p_indegree,spearman_pagerank,p_pagerank,spearman_betweenness,p_betweenness,spearman_closeness,p_closeness,spearman_eigenvector,p_eigenvector
DK,0,107,-0.039642171140597204,0.6851799503536173,-0.012745098977610222,0.8963345204877905,-0.08082834304403526,0.40788015558970847,-0.05731938446871722,0.5575834470798761,0.007431714255159147,0.9394410857022513
DK,1,103,0.16930938713457866,0.0873216366571437,0.15404632921607178,0.120277855355981,0.11538362752672207,0.24580230899750632,0.16611997273889276,0.09353626065101259,0.16082239903114998,0.10462538532956425
DK,2,89,0.1131904483425319,0.2909044181096552,0.13719100522119967,0.19983126081071592,-0.11453942577833524,0.2851555016759815,0.09871142386490939,0.35740166645190596,0.17400684773999914,0.10292443426552562
DK,3,81,-0.0002665020601660605,0.9981160062010846,-0.06241224437603265,0.5799075823596695,0.0764493144435787,0.49755397852073324,-0.08780608353757013,0.4356974910941942,-0.1298746040570156,0.24784235216671685
DK,4,79,0.04937841344088374,0.6656300428899173,0.08472757689395967,0.45784005376584125,0.11674804098650249,0.3055290542944459,0.06514508211931126,0.5684068146390453,0.08815316512420918,0.4397950014388259
DK,5,78,0.02932843599976799,0.7988044921361503,0.04699267361128884,0.6828675639238619,0.059786650377455196,0.6030901005725138,0.03538954432455085,0.7583850613494747,0.07696233517690287,0.5030278310446679
DK,6,70,0.11460382045888884,0.3448135334687886,0.08416338325842508,0.48848967809681765,-0.07277290811727032,0.5493772838434642,-0.024456255171801167,0.8407286887245125,0.07712090537260352,0.5257102456622953
DK,7,67,0.14669217771164014,0.23619480653960315,0.12948090930160988,0.2963440218406706,0.07994416797883319,0.520167559883217,0.02542050638866289,0.8382026817903783,0.04488228240654262,0.7183644855661657
DK,8,63,-0.08371268600318525,0.514214299311212,-0.11939978851590362,0.35130100555293076,-0.060672920925668165,0.6366638435507035,-0.15490142685628766,0.22543426842754202,-0.15085052145305805,0.2379485705602718
DK,9,36,-0.10031417457421384,0.5604892235671366,0.011894961411962113,0.9451063592193796,0.010507215913899866,0.9515025805534952,0.02735841124751286,0.8741520264607104,0.013083615540380133,0.9396304357985074
DK,10,35,0.15919981871018382,0.36099092895413354,0.1367080120932925,0.43357423742103496,0.09523874364339914,0.5862921524132472,0.20840064568463357,0.22960227976416805,0.12581354326323577,0.47142622196597217
DK,11,30,-0.2320841159683707,0.21716645220679243,-0.21871301463685963,0.24557560573509096,0.1397598448698419,0.4613681077698555,-0.09264263065404099,0.6263201830569582,-0.1136543613178441,0.5498385617902901
