leiden_cluster,0-0.25,0.25-0.5,0.5-0.75,0.75-1
0,-1.7480807852774813,3.4630682918133657,0.40772057767619824,2.5924913985948126
1,1.4100033962155822,-2.8106776309041104,-1.1553320803358451,-0.47296110609420683
2,0.6283589202488096,-0.9441892885688731,-0.4438488328363159,-1.1750184074118002
3,-1.2439369789176151,1.630263843464077,2.091111345971369,0.6632111999777338
4,0.9362179070652242,-1.2972062461858511,-1.1547993880607652,-1.1070397431167933
5,-0.835417502671364,0.760866478735142,2.2113909541621357,-0.19092890463359072
6,-1.2086563681347593,2.9077599889426824,0.03733977796928701,0.8771746336572656
7,0.9888519973670111,-0.9175870360155296,-1.9384933745684618,-1.0194996198823882
8,0.6383491193782846,-1.9060038738715173,0.24821929877310886,0.022934519240006196
9,0.48254657700343545,-0.5166329081400244,-0.7171924054054415,-0.7473102124949746
10,-0.10627298283161433,-0.9720387361682151,1.4538799944713412,0.6202561317438781
11,0.507864292830446,-0.19905581220175267,-1.2971420761167445,-0.682197768062461
